0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Au,I,C,,,,,,,,,,,,
S,O,O,O,Cl,,,,,,,,,,
Pd,Cl,P,P,C,,,,,,,,,,
C,C,S,C,H,,,,,,,,,,
C,P,C,S,,,,,,,,,,,
P,Ru,C,C,C,,,,,,,,,,
C,S,H,H,H,,,,,,,,,,
C,Ge,C,,,,,,,,,,,,
Si,Si,C,C,O,,,,,,,,,,
C,O,P,H,H,,,,,,,,,,
C,As,C,H,H,,,,,,,,,,
C,S,Cl,C,,,,,,,,,,,
P,C,Pt,C,C,,,,,,,,,,
C,S,S,S,,,,,,,,,,,
N,C,B,C,,,,,,,,,,,
C,C,Cl,C,C,,,,,,,,,,
C,C,N,Si,,,,,,,,,,,
C,Co,C,C,C,,,,,,,,,,
P,F,F,F,F,C,C,,,,,,,,
C,Pt,O,C,,,,,,,,,,,
P,N,C,C,,,,,,,,,,,
C,N,C,N,N,,,,,,,,,,
C,C,C,O,,,,,,,,,,,
Se,P,,,,,,,,,,,,,
B,N,C,N,,,,,,,,,,,
B,O,C,O,,,,,,,,,,,
C,C,N,Br,,,,,,,,,,,
C,I,N,C,,,,,,,,,,,
C,C,O,C,,,,,,,,,,,
Te,C,N,N,N,,,,,,,,,,
P,C,C,Pd,C,,,,,,,,,,
Br,Au,,,,,,,,,,,,,
Se,Se,C,,,,,,,,,,,,
C,Hg,C,C,H,,,,,,,,,,
C,C,C,Se,H,,,,,,,,,,
C,Si,C,,,,,,,,,,,,
C,N,N,O,,,,,,,,,,,
Ir,Cl,Cl,C,C,C,C,C,C,,,,,,
C,P,C,Ge,P,,,,,,,,,,
C,Si,C,C,C,,,,,,,,,,
Sb,C,C,C,,,,,,,,,,,
C,C,Si,S,,,,,,,,,,,
Mo,C,C,C,C,C,C,C,C,C,C,H,H,,
C,N,F,N,,,,,,,,,,,
S,N,O,O,Cl,,,,,,,,,,
O,Os,Os,,,,,,,,,,,,
C,N,Si,H,H,,,,,,,,,,
O,C,C,,,,,,,,,,,,
C,Ir,Ir,H,H,,,,,,,,,,
C,Pt,Br,C,C,,,,,,,,,,
Si,Rh,C,C,C,,,,,,,,,,
C,C,Cl,Cl,C,,,,,,,,,,
C,O,C,S,,,,,,,,,,,
C,I,H,H,H,,,,,,,,,,
C,C,C,Zn,,,,,,,,,,,
C,C,I,H,,,,,,,,,,,
Br,C,,,,,,,,,,,,,
C,P,H,H,H,,,,,,,,,,
C,F,C,H,H,,,,,,,,,,
Sb,C,N,Cl,Cl,N,,,,,,,,,
N,C,C,Se,,,,,,,,,,,
C,F,C,F,H,,,,,,,,,,
N,Sb,C,Sb,,,,,,,,,,,
Ni,C,C,C,,,,,,,,,,,
C,Os,C,C,C,,,,,,,,,,
C,Se,Ge,N,,,,,,,,,,,
S,C,O,O,N,,,,,,,,,,
C,As,C,C,,,,,,,,,,,
C,Fe,N,C,C,,,,,,,,,,
C,C,O,H,H,,,,,,,,,,
C,O,N,O,,,,,,,,,,,
O,C,Si,,,,,,,,,,,,
Ir,C,C,C,C,C,C,C,Ir,,,,,,
N,O,O,C,,,,,,,,,,,
P,C,Pd,C,C,,,,,,,,,,
Ni,I,N,C,N,,,,,,,,,,
C,C,C,,,,,,,,,,,,
C,F,N,C,,,,,,,,,,,
N,Se,C,C,,,,,,,,,,,
C,P,N,C,H,,,,,,,,,,
Au,Br,P,,,,,,,,,,,,
C,C,S,C,S,,,,,,,,,,
C,C,C,S,,,,,,,,,,,
C,C,,,,,,,,,,,,,
C,N,S,C,,,,,,,,,,,
N,Au,C,C,,,,,,,,,,,
P,O,O,O,H,,,,,,,,,,
C,C,C,F,N,,,,,,,,,,
N,N,N,,,,,,,,,,,,
N,N,O,C,,,,,,,,,,,
C,C,Se,H,H,,,,,,,,,,
C,N,P,C,,,,,,,,,,,
Pd,I,I,P,P,,,,,,,,,,
N,C,C,O,,,,,,,,,,,
Sn,C,Cl,C,C,,,,,,,,,,
Br,Si,,,,,,,,,,,,,
P,Ni,C,O,C,,,,,,,,,,
C,S,N,N,,,,,,,,,,,
N,S,C,C,,,,,,,,,,,
C,Se,Si,N,,,,,,,,,,,
C,N,N,S,,,,,,,,,,,
Br,Br,,,,,,,,,,,,,
C,C,C,C,I,,,,,,,,,,
P,Te,C,C,C,,,,,,,,,,
C,C,Si,C,H,,,,,,,,,,
C,O,N,C,C,,,,,,,,,,
Ti,C,Cl,Cl,Cl,C,C,C,C,,,,,,
C,O,C,N,,,,,,,,,,,
Hg,C,Cl,,,,,,,,,,,,
C,C,N,O,,,,,,,,,,,
B,N,N,N,,,,,,,,,,,
C,C,Si,,,,,,,,,,,,
P,Pd,C,C,C,,,,,,,,,,
C,Ir,F,F,C,,,,,,,,,,
Cl,O,O,O,O,,,,,,,,,,
C,S,C,C,O,,,,,,,,,,
C,N,Ag,,,,,,,,,,,,
C,S,S,S,S,,,,,,,,,,
C,N,S,Si,,,,,,,,,,,
C,C,C,Ge,H,,,,,,,,,,
C,C,F,C,,,,,,,,,,,
Ti,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,Hf,C,C,H,,,,,,,,,,
C,O,S,C,,,,,,,,,,,
C,C,O,Se,,,,,,,,,,,
C,C,C,P,,,,,,,,,,,
Ag,Se,O,Se,Se,,,,,,,,,,
S,S,C,O,,,,,,,,,,,
C,Ge,Si,C,C,,,,,,,,,,
C,O,H,H,H,,,,,,,,,,
O,N,C,,,,,,,,,,,,
C,C,Bi,H,H,,,,,,,,,,
C,O,C,B,,,,,,,,,,,
N,O,N,,,,,,,,,,,,
C,C,C,S,C,,,,,,,,,,
C,C,S,S,H,,,,,,,,,,
N,C,C,C,C,,,,,,,,,,
Ti,C,C,Cl,Cl,C,C,C,C,C,C,C,C,,
C,S,I,C,,,,,,,,,,,
P,P,N,N,,,,,,,,,,,
C,N,Au,,,,,,,,,,,,
C,N,C,Se,,,,,,,,,,,
C,S,O,N,,,,,,,,,,,
Pd,Cl,Cl,P,P,,,,,,,,,,
Pd,N,I,C,N,,,,,,,,,,
N,C,C,H,H,,,,,,,,,,
C,Ti,C,C,H,,,,,,,,,,
P,Cl,C,C,,,,,,,,,,,
Si,C,C,Cl,C,,,,,,,,,,
C,Cl,C,H,H,,,,,,,,,,
Au,P,C,,,,,,,,,,,,
C,N,C,H,,,,,,,,,,,
C,C,C,N,,,,,,,,,,,
C,Se,C,H,,,,,,,,,,,
C,Pt,C,H,H,,,,,,,,,,
C,C,O,O,,,,,,,,,,,
N,C,C,S,,,,,,,,,,,
C,C,Ru,C,H,,,,,,,,,,
S,O,O,C,C,,,,,,,,,,
Br,Se,,,,,,,,,,,,,
N,C,C,Ru,,,,,,,,,,,
C,N,N,N,,,,,,,,,,,
C,O,C,S,C,,,,,,,,,,
C,N,Pt,N,,,,,,,,,,,
O,I,C,,,,,,,,,,,,
Se,O,O,C,,,,,,,,,,,
C,N,C,,,,,,,,,,,,
O,C,O,,,,,,,,,,,,
C,Ir,N,N,,,,,,,,,,,
C,I,C,I,,,,,,,,,,,
Si,C,Cl,Cl,Cl,,,,,,,,,,
C,C,N,S,,,,,,,,,,,
C,Br,C,N,C,,,,,,,,,,
N,C,,,,,,,,,,,,,
C,Ga,H,H,H,,,,,,,,,,
N,Se,C,Se,,,,,,,,,,,
Br,Os,,,,,,,,,,,,,
C,O,F,F,C,,,,,,,,,,
C,S,C,C,S,,,,,,,,,,
C,C,Zn,C,,,,,,,,,,,
C,Re,C,H,H,,,,,,,,,,
N,C,N,O,,,,,,,,,,,
