cod,bandgap_energy_ev,group
1505972,4.00187,train
1506520,1.03004,train
7102060,4.00666,train
2012236,2.57411,train
2203470,3.81775,train
7109311,1.20073,train
1513095,1.81313,train
4025513,3.59727,train
2216893,3.49331,train
1503939,1.40909,train
2218770,3.37923,train
7150862,2.06397,train
8100630,1.42073,train
2237088,4.0949,train
7153423,1.89296,train
7152706,3.30141,train
2235681,2.96072,train
2227478,2.29018,train
7204265,3.78124,train
2232523,0.72246,train
2227759,2.90606,train
7114329,3.78286,train
2016832,3.42812,train
7226512,1.65159,train
4060568,2.35951,train
7015875,3.4498,train
2005453,4.80747,train
4030471,2.09849,train
4076719,1.45042,train
7004555,2.53704,train
4062949,2.39015,train
7050604,2.86507,train
2015142,4.03847,train
7150068,4.55584,train
7151843,3.6164,train
2012315,3.79804,train
2300571,2.60256,train
1503258,2.97441,train
2010507,4.11461,train
4025893,3.16336,train
4507897,0.835,train
2008363,3.20067,train
4023175,3.05552,train
2200007,2.59801,train
4100437,3.3585,train
4065378,2.73222,train
1511812,8.3169,train
4060008,2.62909,train
1512048,3.84728,train
4066857,1.8488,train
4080895,2.59595,train
4107219,3.61082,train
7153771,2.85799,train
2235386,4.00994,train
1504307,3.11527,train
4021047,3.28734,train
2015644,3.15318,train
4504328,2.87164,train
7216972,1.88756,train
2210412,2.56044,train
2235905,1.98499,train
1518651,2.82576,train
1517801,3.48492,train
7204556,1.67611,train
2206307,2.02823,train
2235584,2.91429,train
1513242,2.44101,train
1515158,3.66478,train
2225847,2.96549,train
2200479,3.04176,train
2237044,2.1595,train
7216389,4.73597,train
4123181,6.62827,train
7117263,3.27776,train
4025913,2.02495,train
4111529,3.60346,train
7203219,2.6911,train
4021779,3.75664,train
7150882,4.61688,train
7212211,3.79655,train
4020200,1.42887,train
4061446,2.9178,train
4024905,1.82872,train
1542650,3.0409,train
4023132,3.04186,train
4507996,4.8887,train
4081267,2.7975,train
4506718,2.55926,train
1516340,3.36736,train
4029588,3.83475,train
7150888,3.94785,train
2105861,3.8374,train
4022755,1.36785,train
1506409,1.91675,train
1520165,3.90991,train
7101001,3.69063,train
7053335,3.61322,train
2218689,1.9198,train
4029346,2.94803,train
4031074,2.60924,train
7111673,2.77026,train
4020859,1.81548,train
4105071,3.35585,train
7029334,4.01188,train
4512518,6.99658,train
4121487,2.22929,train
4025632,3.58782,train
8103659,4.05757,train
2015716,4.78133,train
1507716,3.23431,train
4106753,3.1672,train
2017439,2.70835,train
4064554,2.8435,train
4080897,2.85519,train
2212203,2.1113,train
7150256,3.42828,train
1504587,3.99891,train
4020132,3.15234,train
4078010,4.01432,train
7219455,0.64857,train
4075916,3.15902,train
2005844,2.63878,train
2001257,3.6777,train
4510518,3.04246,train
4114902,3.61706,train
7006484,2.28783,train
4030655,2.36358,train
2236022,2.73635,train
4083203,2.01763,train
7201850,3.35029,train
7151882,2.9376,train
1504291,4.09539,train
4029447,2.35295,train
2008869,2.88229,train
7150819,4.358,train
1542677,2.38764,train
7006158,2.50051,train
4071141,2.87909,train
4025742,3.24148,train
1540507,4.12641,train
1544226,5.8733,train
7203133,5.00377,train
2229425,2.54787,train
2210687,2.76853,train
7107992,2.57489,train
4119386,4.75711,train
2222967,2.13629,train
1504916,2.20828,train
4500215,5.15357,train
4029009,3.85142,train
7220056,1.66912,train
2019331,3.97752,train
1504671,3.93583,train
2219261,4.08628,train
2209005,3.04515,train
1516194,3.45287,train
1507843,3.45537,train
2223659,2.667,train
2228818,3.285,train
2223524,3.69184,train
1540378,3.70658,train
1542632,2.84167,train
2005841,4.28125,train
1504903,3.30962,train
1534665,4.05642,train
4083195,2.65101,train
2225051,4.44372,train
4026881,3.51744,train
7201830,3.4898,train
2007121,2.87768,train
1507537,1.8675,train
2213154,3.53039,train
2200543,3.10278,train
2201315,1.9562,train
1513153,3.61422,train
2006041,4.63031,train
4071712,2.34916,train
4507989,3.20542,train
2214769,2.64376,train
2227520,2.80188,train
2104839,3.0939,train
7223233,2.99726,train
2210047,3.77193,train
7152303,4.38454,train
4026182,2.45024,train
4027482,2.0716,train
4020748,3.71697,train
8102201,1.66118,train
7152550,3.39049,train
2207604,2.69396,train
1513461,3.30273,train
2008560,3.27288,train
2000183,5.16263,train
2201939,1.60799,train
2216834,2.09389,train
8102357,3.2406,train
2100178,4.38274,train
1513767,3.5711,train
4029344,2.63454,train
7217146,2.29623,train
1512054,3.43154,train
4028211,1.60663,train
4024515,3.47836,train
4115181,3.31373,train
7000142,2.92841,train
2009039,2.702,train
4030408,2.49227,train
4500394,2.01728,train
4025984,4.3895,train
4028248,2.6471,train
2233756,2.17481,train
7220372,3.25307,train
4022182,2.59386,train
7012468,5.16074,train
4020785,2.00936,train
7224801,3.18302,train
2218181,2.45235,train
2007407,4.81363,train
7216497,1.87037,train
4121986,3.87468,train
2209270,2.61583,train
4513611,2.1211,train
7117575,3.02271,train
1520159,2.75803,train
7154194,2.14524,train
7151164,3.7666,train
2018313,2.9012,train
1503134,2.37264,train
2217808,1.91586,train
7023327,1.60206,train
1504017,2.5166,train
2229462,2.15377,train
4029301,2.5483,train
4076346,1.95616,train
4116463,2.81187,train
7150254,2.6581,train
2230378,2.70627,train
7118838,1.56431,train
2100241,5.32975,train
2222819,3.04497,train
4023110,2.41963,train
8102458,2.82773,train
4344083,3.14229,train
7150644,1.57321,train
7150952,1.07324,train
1504559,3.08462,train
4513896,2.73355,train
4500630,3.77345,train
2223128,2.93593,train
4086309,1.65147,train
4029451,4.58479,train
4028376,2.68129,train
2015856,3.42891,train
4023020,2.70417,train
2224336,2.5186,train
4025792,3.49076,train
7106263,5.23199,train
4072305,1.76152,train
4020189,1.7531,train
7213303,4.63594,train
7055121,1.8477,train
4020144,3.2213,train
2105112,4.9802,train
2005354,2.76154,train
2239512,3.77122,train
4082403,2.7248,train
2001865,2.8522,train
4028278,1.57723,train
7152077,2.249,train
7154449,2.63801,train
2228621,1.98271,train
7052498,2.09876,train
4060682,2.50619,train
1515159,3.14139,train
2019315,3.08463,train
4024467,2.96917,train
7150468,3.40806,train
2101110,3.62858,train
8101578,4.23897,train
7016442,2.93247,train
7204137,0.0,train
7053848,1.51675,train
7220122,1.85081,train
2216565,3.79539,train
2232851,3.74253,train
2105465,4.40631,train
7154629,2.66074,train
7007919,2.4072,train
7219650,2.09542,train
1503137,3.7427,train
7217038,2.6925,train
7105644,2.90749,train
2103331,3.97557,train
4023784,3.71905,train
2010023,1.88498,train
7200981,2.72109,train
2224437,3.92551,train
2223728,2.96655,train
2011862,5.54623,train
7152768,3.09391,train
2215411,4.72555,train
2230118,1.61438,train
2231495,2.10278,train
7009773,1.66628,train
2218613,2.64698,train
2223141,3.72798,train
7004746,2.631,train
2203187,2.65573,train
4513124,1.84645,train
7224699,2.3895,train
2208283,2.69196,train
4022086,2.78729,train
4027704,3.7905,train
4122566,3.80295,train
4332580,4.97402,train
7152828,3.26066,train
4031722,2.7473,train
7000140,2.6446,train
2300233,3.58202,train
1503858,2.98931,train
4083240,3.52219,train
1503361,2.18528,train
2204126,4.66101,train
7203929,1.99369,train
4342184,1.43197,train
2206231,3.36483,train
2012161,1.81447,train
4031864,2.0644,train
2239991,2.3672,train
2219302,2.9408,train
2239727,2.28421,train
2104163,4.61909,train
7152685,2.25605,train
7206641,4.48763,train
4030877,3.34645,train
4111185,1.04246,train
4062880,2.24344,train
4500335,3.57309,train
7107534,3.06531,train
7152912,2.45747,train
2015749,3.40921,train
4074642,2.67447,train
2200629,3.54554,train
2216610,3.43399,train
7151971,4.94424,train
2212787,4.75842,train
2014254,2.94573,train
7213282,4.40187,train
7213185,3.2633,train
4512770,2.8023,train
7152114,5.6733,train
2231959,6.07049,train
2018208,3.33789,train
4508002,5.18636,train
2203591,1.94673,train
1503773,2.30086,train
4115566,2.3236,train
7150337,4.26508,train
2201181,3.84681,train
2019634,1.66458,train
4020079,4.3635,train
7117258,4.34817,train
4028812,3.84716,train
2015450,3.31868,train
4111084,3.3945,train
4069356,1.72813,train
4505386,2.14272,train
2205435,3.64396,train
1505462,2.4438,train
7223009,2.54845,train
1506570,1.60932,train
7223232,3.01807,train
1505100,1.38903,train
4027471,3.78899,train
7110206,3.31817,train
4070211,2.46918,train
4116727,4.56941,train
4021621,4.6552,train
7209078,3.19222,train
2102939,2.20084,train
1507825,3.31601,train
2008943,4.97473,train
7052941,2.59473,train
2105558,4.63397,train
2013936,3.36945,train
2007205,3.41971,train
5000067,5.84889,train
2222838,4.82623,train
2209316,2.33476,train
2009772,2.53245,train
4025462,4.88564,train
2001549,5.0969,train
1519399,3.24734,train
4028332,2.02233,train
1502048,1.0496,train
4502006,2.30167,train
4027426,3.26467,train
2202407,4.21325,train
8100693,3.45528,train
7112730,3.48198,train
1507463,2.31006,train
8102083,2.59598,train
7155131,3.2629,train
4505740,3.64322,train
2011396,3.47832,train
4026094,2.82468,train
7225195,2.32153,train
2007553,3.60098,train
4069583,3.02148,train
2210376,2.28053,train
