id,label,group
2236280,1.231,val
2206637,1.715,val
4065226,1.426,val
8103227,1.561,val
2011668,1.56,val
4020009,1.225,val
4069869,1.194,val
4061207,1.482,val
4504010,1.446,val
7054715,1.325,val
7054651,1.424,val
1506819,1.321,val
4026449,1.397,val
2204602,1.505,val
4507156,1.168,val
2239694,1.244,val
7154903,1.381,val
4101129,1.263,val
4023601,1.326,val
2013217,1.239,val
7154016,1.364,val
2240209,1.228,val
1505879,1.22,val
2226442,2.254,val
2210903,1.346,val
1502933,1.311,val
2203985,1.431,val
2002038,1.633,val
7052236,1.238,val
2241084,1.45,val
7151249,1.214,val
7153503,1.381,val
4329114,1.54,val
2234553,1.358,val
2011428,1.348,val
1505311,1.271,val
7051608,1.649,val
2232430,1.255,val
2233803,1.54,val
2206137,2.626,val
2202320,1.666,val
7219429,1.817,val
2004403,1.349,val
7115466,1.375,val
7151266,1.191,val
4024030,1.401,val
2209780,1.33,val
7154792,1.211,val
4507560,1.15,val
2105466,1.084,val
4021917,1.265,val
2236284,1.242,val
2241138,1.22,val
2008072,1.394,val
2201155,1.36,val
4064762,2.048,val
4021496,1.202,val
7109249,1.292,val
4023376,1.48,val
7154565,1.544,val
2015716,1.277,val
4028076,1.248,val
7117150,1.271,val
2006892,1.065,val
2221416,1.362,val
1503011,1.299,val
2013765,1.33,val
7209814,1.817,val
1517658,1.227,val
7225909,1.549,val
1502517,1.266,val
2104402,1.211,val
4022669,1.319,val
7117403,1.12,val
4028044,1.703,val
2001894,1.408,val
1506248,1.323,val
2220484,1.411,val
2228607,1.27,val
1505003,1.403,val
2015511,1.316,val
2221062,1.43,val
4020200,1.721,val
2203246,1.489,val
4503995,1.586,val
2220377,1.388,val
1502391,1.413,val
7152154,1.558,val
7151548,1.54,val
4061348,1.188,val
4116458,1.253,val
4027677,1.258,val
7117624,1.417,val
2105861,2.239,val
1502353,2.068,val
4062949,1.389,val
2210907,1.268,val
4319796,1.143,val
2202047,1.327,val
4342962,2.448,val
2215910,1.287,val
2238018,1.416,val
4025805,1.234,val
2226275,1.434,val
8101438,1.29,val
1518571,1.303,val
2014434,1.453,val
7055600,1.651,val
4020447,1.526,val
2216524,1.576,val
1504031,1.282,val
1542953,1.518,val
4082946,1.386,val
2204656,1.387,val
4325163,1.509,val
2234549,2.158,val
2210782,1.394,val
7011314,1.416,val
4026995,1.435,val
4110318,1.238,val
4023489,1.398,val
7001920,1.421,val
4104445,1.391,val
4508435,1.511,val
7153841,1.356,val
2214284,1.497,val
2200363,1.334,val
2222530,1.462,val
8102321,1.18,val
4028248,1.257,val
4306814,1.252,val
1506344,1.244,val
4340822,1.484,val
7214756,1.43,val
2225882,1.295,val
2230685,1.358,val
2004822,1.364,val
1518526,1.309,val
2011469,1.367,val
8102077,1.35,val
2236814,1.148,val
4026429,1.422,val
4106398,1.43,val
4323794,1.379,val
7202701,1.359,val
2004206,1.41,val
4024479,1.226,val
1503742,1.306,val
7219650,1.472,val
2011617,1.646,val
4028158,1.321,val
2006109,1.311,val
2218833,1.394,val
2208433,1.565,val
7053193,1.295,val
7015028,1.224,val
4116144,1.372,val
7218413,1.22,val
2006843,2.026,val
2104364,1.337,val
8102301,1.508,val
1506085,1.28,val
4026065,1.27,val
4029061,1.15,val
7115541,1.224,val
7105484,1.595,val
2013641,1.516,val
7151335,1.281,val
4113802,1.348,val
4024043,1.419,val
2215016,1.504,val
2226850,1.342,val
2013199,1.646,val
4331193,1.424,val
2019951,1.339,val
2210644,1.299,val
4022182,1.376,val
4023247,1.38,val
2005844,1.226,val
7100462,1.477,val
4122131,1.29,val
2237472,1.515,val
2239379,1.278,val
7024172,1.426,val
4026056,1.228,val
7103919,1.325,val
2100671,1.112,val
2234270,1.629,val
7051298,1.209,val
2010815,1.17,val
2229834,1.394,val
2211048,1.271,val
7154306,1.393,val
2200734,1.513,val
7153202,1.466,val
1505723,1.659,val
4509404,1.329,val
4021956,1.223,val
7150719,1.183,val
2008148,1.456,val
2241839,1.332,val
1542443,1.511,val
7150039,1.323,val
2218657,1.572,val
7153389,1.509,val
2015142,2.063,val
1503302,1.463,val
2007436,1.774,val
7112833,1.178,val
4020118,1.426,val
4002038,1.847,val
1507825,1.507,val
4508439,2.027,val
2241818,1.292,val
1503930,1.27,val
2223530,1.267,val
1517454,1.37,val
2231315,1.226,val
2018170,1.198,val
4104440,1.394,val
2010045,1.556,val
4020272,1.254,val
1505676,1.479,val
4106339,1.275,val
1529260,1.308,val
4029342,1.308,val
2100170,1.341,val
1505375,1.42,val
4029649,1.342,val
4022443,1.474,val
7001921,1.367,val
2237844,1.061,val
2004195,1.332,val
2216937,1.384,val
7214136,1.351,val
2217057,1.353,val
4027168,1.284,val
7152013,1.317,val
7151832,1.509,val
1514664,1.203,val
4026636,1.391,val
4025748,1.441,val
7204337,1.486,val
2220726,1.22,val
1512286,1.557,val
7151179,1.259,val
7150440,1.488,val
4030636,1.447,val
4029363,1.353,val
1540573,1.271,val
2224525,1.35,val
7053848,1.468,val
7150038,1.305,val
7219788,1.562,val
2224944,2.013,val
4512204,1.414,val
4028545,1.73,val
2008560,1.395,val
2007740,1.543,val
2218813,1.346,val
1518393,1.778,val
7153685,1.374,val
7212449,1.336,val
2217617,1.458,val
7212211,1.214,val
2004087,1.311,val
4027218,1.328,val
2203523,1.445,val
2218391,1.412,val
1506465,1.645,val
2217667,1.286,val
1506699,1.209,val
2001735,1.211,val
7153010,1.185,val
4113414,1.246,val
1511896,1.404,val
2221147,1.322,val
4025500,1.286,val
4023198,1.303,val
4111076,1.223,val
2205701,1.307,val
2217985,1.358,val
4072067,1.245,val
7117464,1.33,val
2209155,2.927,val
7153648,1.531,val
4116108,1.424,val
7225252,1.145,val
2012515,1.446,val
2009803,1.055,val
2300233,1.298,val
2105154,1.657,val
1512591,1.494,val
2210412,1.504,val
2222819,1.188,val
4031083,1.939,val
4021179,1.424,val
4104609,1.425,val
2232260,1.462,val
2239440,1.438,val
4022220,1.392,val
1519257,1.433,val
7201830,1.439,val
2206688,1.295,val
7150430,1.343,val
4020592,1.988,val
2203177,1.39,val
4028440,1.472,val
2220762,1.367,val
4029464,1.251,val
4021469,1.524,val
4030595,1.532,val
2015917,1.514,val
1513499,1.316,val
7205616,1.345,val
4026138,1.374,val
1502975,1.199,val
2101172,1.06,val
7213590,2.318,val
4025588,1.422,val
2004253,1.509,val
2230644,1.218,val
1518269,1.674,val
1503981,1.342,val
2208803,1.301,val
7109154,1.283,val
4501733,1.327,val
1506184,1.415,val
1503532,1.362,val
7113821,1.203,val
1506702,1.397,val
2218488,1.342,val
2104943,0.971,val
2101518,1.855,val
4508708,1.375,val
7202387,1.53,val
4027223,1.371,val
2005344,1.248,val
7054646,1.408,val
7150256,1.353,val
7152214,1.32,val
2016292,1.351,val
2011360,1.327,val
2103888,1.114,val
2000970,1.56,val
1513590,1.874,val
4070006,1.246,val
2226734,1.436,val
2200598,1.172,val
4331054,1.229,val
4512828,2.499,val
2210071,1.486,val
2222052,1.271,val
4023450,1.219,val
