id,label,group
2232426,0.111,val
1507669,0.000527,val
1544226,0.0,val
4319796,0.0,val
4023907,0.129,val
4084629,0.514,val
4501614,2.73e-05,val
7206440,0.0,val
2016821,0.0,val
2226190,0.0766,val
4331193,0.0,val
4020200,0.0,val
2203207,0.0,val
7208071,0.00121,val
2219818,0.0,val
2104787,0.0,val
4068740,0.0,val
7151946,0.0,val
7015028,0.0222,val
7002927,0.0,val
4024479,1.05e-06,val
1508887,0.0,val
2201181,1.66e-11,val
7152214,0.0,val
4081463,0.0,val
4020447,0.0,val
2006892,0.0,val
2209144,0.0,val
2218109,0.0,val
7218413,0.00705,val
4335238,0.341,val
4024499,0.0,val
2008734,0.00409,val
4028813,0.0,val
4507560,0.0,val
7154955,0.0,val
7150514,0.000594,val
2015790,0.0,val
2101518,0.0,val
2012515,0.0,val
2220726,5.47e-06,val
2200734,0.111,val
1502585,0.0,val
7105056,0.0,val
2017339,0.00469,val
4025462,6.85e-07,val
2011898,0.0427,val
2239694,0.0,val
1506542,0.119,val
4028983,0.00725,val
2210704,1.8e-13,val
4031080,0.098,val
2009304,0.0,val
7212449,0.0201,val
4072067,0.0,val
2004042,0.0,val
7151832,0.0329,val
1513590,0.00515,val
4025587,4.53e-07,val
2224944,0.0,val
4025619,0.0,val
2230645,0.0,val
2205367,0.0476,val
4026072,0.0,val
1507825,0.0,val
2103498,0.0,val
2105586,0.0,val
2240928,0.0,val
2100237,0.0,val
4030015,0.000333,val
2213979,0.0,val
2241305,0.00725,val
1516630,0.0104,val
2015488,1.09,val
4029241,0.0,val
4102501,0.0,val
4024505,1.37e-05,val
7150130,6.84e-11,val
2208211,0.0,val
2221411,0.00327,val
4020683,0.216,val
2236620,0.162,val
2217702,0.413,val
4109083,0.0,val
7224883,2.39e-11,val
2209542,0.239,val
2018818,0.0,val
7022129,0.0,val
2100836,0.0,val
4060844,0.0,val
1100679,0.0,val
7224058,2.27e-08,val
2222781,0.0384,val
2224728,0.0515,val
7113821,0.0,val
2217985,0.0,val
4021076,1.42,val
4023322,0.0,val
7154510,0.0,val
7111097,0.000123,val
1504105,0.00363,val
4028076,7.15e-07,val
2224624,0.0,val
4020118,0.0,val
1512286,0.0,val
4028044,0.0,val
4026056,0.0,val
1505375,0.0339,val
7202701,0.0,val
7150430,0.0,val
2010199,0.0291,val
